transaction_id,region,product_category,quantity,unit_price,discount_percent,transaction_date
TXN-10001,West,Electronics,20,120.62,10,2025-05-03
TXN-10002,South,Electronics,9,70.99,12,2025-04-25
TXN-10003,North,Groceries,12,339.60,3,2025-04-19
TXN-10004,South,Groceries,6,106.32,3,2025-05-15
TXN-10005,South,Electronics,10,428.55,2,2025-05-24
TXN-10006,West,Groceries,18,496.00,28,2025-04-05
TXN-10007,South,Apparel,9,92.28,29,2025-05-27
TXN-10008,East,Fitness,10,339.89,16,2025-04-15
TXN-10009,South,Books,2,136.43,24,2025-04-25
TXN-10010,South,Apparel,7,202.47,20,2025-04-18
TXN-10011,North,Books,13,371.01,2,2025-05-08
TXN-10012,West,Apparel,3,196.05,13,2025-03-21
TXN-10013,West,Apparel,12,500.36,21,2025-05-28
TXN-10014,South,Electronics,11,146.34,14,2025-03-23
TXN-10015,East,Books,18,482.57,14,2025-05-13
TXN-10007,South,Apparel,14,310.98,29,2025-05-04
TXN-10017,North,Home & Kitchen,11,327.94,3,2025-05-19
TXN-10018,North,Apparel,19,93.00,29,2025-03-21
TXN-10019,East,Fitness,15,404.85,27,2025-03-12
TXN-10020,East,Apparel,2,451.16,3,2025-05-07
TXN-10021,East,Fitness,18,21.68,3,2025-04-02
TXN-10022,South,Electronics,16,88.32,24,2025-05-08
TXN-10023,North,Home & Kitchen,18,432.70,29,2025-03-29
TXN-10024,North,Apparel,3,314.83,17,2025-04-28
TXN-10025,East,Fitness,18,460.07,24,2025-03-19
TXN-10026,West,Electronics,3,204.18,0,2025-04-04
TXN-10027,West,Home & Kitchen,17,245.42,19,2025-05-24
TXN-10028,East,Books,16,398.12,10,2025-05-08
TXN-10029,West,Fitness,16,349.32,11,2025-04-14
TXN-10030,North,Apparel,5,465.90,6,2025-04-20
TXN-10031,South,Fitness,13,260.73,7,2025-04-07
TXN-10032,West,Fitness,2,290.76,20,2025-06-01
TXN-10033,North,Fitness,1,29.49,2,2025-05-16
TXN-10034,West,Apparel,6,260.45,11,2025-04-15
TXN-10035,East,Books,16,205.84,5,2025-04-24
TXN-10036,North,Apparel,18,314.02,2,2025-04-10
TXN-10037,East,Groceries,-1,53.14,28,2025-05-17
TXN-10038,North,Fitness,13,424.11,2,2025-04-28
TXN-10039,West,Electronics,4,23.27,27,2025-05-21
TXN-10040,East,Apparel,14,406.85,15,2025-04-10
TXN-10041,South,Books,17,272.47,11,2025-04-10
TXN-10042,North,Groceries,9,343.78,25,2025-03-16
TXN-10043,East,Fitness,19,336.33,5,2025-05-03
TXN-10044,West,Electronics,5,247.70,18,2025-05-22
TXN-10045,North,Apparel,3,257.15,10,2025-03-24
TXN-10046,South,Groceries,9,205.00,15,2099-12-31
TXN-10047,East,Books,8,105.25,23,2025-03-30
TXN-10048,North,Fitness,16,89.83,11,2025-05-10
TXN-10049,East,Apparel,1,313.96,5,2025-05-24
TXN-10050,North,Home & Kitchen,9,301.76,6,2025-03-05
TXN-10051,East,Electronics,1,21.55,15,2025-04-30
TXN-10052,West,Groceries,5,93.29,7,2025-05-28
TXN-10053,West,Apparel,4,300.11,7,2025-03-15
TXN-10054,North,Electronics,11,326.30,11,2025-05-30
TXN-10055,East,Apparel,20,435.75,3,2025-04-06
TXN-10056,South,Home & Kitchen,15,428.46,14,2025-05-01
TXN-10057,East,Books,13,423.56,25,2025-03-25
TXN-10058,West,Home & Kitchen,20,250.45,25,2025-05-16
TXN-10059,East,Home & Kitchen,1,187.79,15,2025-03-23
TXN-10060,West,Home & Kitchen,4,402.19,28,2025-03-27
TXN-10061,South,Fitness,12,450.88,7,2025-05-07
TXN-10062,North,Home & Kitchen,2,497.56,21,2025-05-07
TXN-10063,South,Apparel,12,204.90,24,2025-05-17
TXN-10064,South,Fitness,9,436.73,28,2025-03-05
TXN-10065,East,Home & Kitchen,7,407.18,3,2025-05-28
TXN-10066,North,Home & Kitchen,1,221.50,1,2025-03-30
TXN-10067,South,Books,4,176.02,13,2025-05-18
TXN-10068,East,Electronics,7,50.64,21,2025-03-28
TXN-10069,North,Groceries,20,22.03,26,2025-03-19
TXN-10070,East,Home & Kitchen,6,399.92,22,2025-05-29
TXN-10071,North,Apparel,9,63.65,2,2025-03-09
TXN-10072,West,Groceries,10,105.50,3,2025-04-26
TXN-10073,East,Groceries,1,160.83,3,2025-05-11
TXN-10074,East,Fitness,15,305.97,20,2025-04-19
TXN-10075,North,Groceries,4,493.31,13,2025-05-22
TXN-10076,South,Books,9,187.47,23,2025-05-30
TXN-10040,East,Books,12,217.22,6,2025-05-24
TXN-10078,West,Groceries,8,53.39,28,2025-05-29
TXN-10079,West,Home & Kitchen,20,153.90,27,2025-04-24
TXN-10080,North,Fitness,13,61.85,11,2025-03-19
TXN-10081,South,Apparel,11,103.78,20,2025-04-20
TXN-10082,West,Home & Kitchen,12,293.17,28,2025-03-13
TXN-10083,West,Electronics,4,438.27,27,2025-04-18
TXN-10084,East,Books,10,61.98,22,2025-05-14
TXN-10085,South,Electronics,7,278.23,26,2025-05-12
TXN-10086,West,Home & Kitchen,11,31.74,16,2025-03-30
TXN-10087,South,Electronics,12,375.89,23,2025-05-06
TXN-10088,East,Books,6,249.03,3,2025-03-15
TXN-10089,North,Electronics,8,246.57,11,2025-05-23
TXN-10090,East,Home & Kitchen,12,323.21,30,2025-05-03
TXN-10091,East,Groceries,11,200.20,3,2025-04-09
TXN-10092,East,Apparel,2,37.52,18,2025-05-08
TXN-10093,West,Electronics,6,498.01,21,2025-03-14
TXN-10094,East,Groceries,19,184.63,5,2025-04-02
TXN-10095,East,Groceries,7,193.56,4,2025-04-10
TXN-10096,West,Electronics,12,241.42,27,2025-05-24
TXN-10097,West,Apparel,8,309.92,2,2025-05-10
TXN-10098,West,Books,14,256.32,11,2099-12-31
TXN-10099,East,Fitness,5,340.74,3,2025-03-04
TXN-10100,East,Apparel,2,429.15,29,2025-03-08
TXN-10101,East,Electronics,14,241.15,29,2025-04-07
TXN-10102,North,Books,17,499.77,24,2025-04-21
TXN-10103,West,Apparel,2,166.53,12,2025-04-30
TXN-10104,East,Apparel,9,246.71,28,2025-05-31
TXN-10105,North,Groceries,6,153.79,30,2025-05-03
TXN-10106,West,Books,13,338.91,16,2025-05-18
TXN-10107,South,Groceries,11,119.72,24,2025-03-05
TXN-10108,South,Fitness,11,428.69,4,2025-04-21
TXN-10109,East,Home & Kitchen,18,21.53,27,2025-05-22
TXN-10110,South,Home & Kitchen,19,26.88,27,2025-04-29
TXN-10111,West,Home & Kitchen,16,322.75,1,2025-03-27
TXN-10112,East,Groceries,2,57.32,6,2025-04-25
TXN-10113,South,Fitness,3,171.06,27,2025-04-24
TXN-10114,North,Electronics,13,463.04,20,2025-05-28
TXN-10115,North,Electronics,17,449.63,2,2025-05-17
TXN-10116,East,Electronics,3,472.13,15,2025-05-22
TXN-10117,North,Groceries,15,47.67,26,2025-04-15
TXN-10118,West,Electronics,18,352.59,16,2025-05-30
TXN-10119,North,Fitness,17,40.01,20,2025-05-21
TXN-10120,East,Electronics,10,11.28,21,2025-05-24
TXN-10121,East,Fitness,16,445.39,9,2025-05-30
TXN-10122,West,Fitness,18,14.58,13,2025-04-15
TXN-10123,West,Books,16,139.09,29,2025-05-05
TXN-10124,South,Groceries,19,471.59,5,2025-04-10
TXN-10125,East,Apparel,16,96.76,3,2025-04-25
TXN-10126,West,Home & Kitchen,2,38.42,1,2025-05-26
TXN-10127,West,Electronics,9,309.40,14,2025-05-29
TXN-10128,West,Books,2,285.11,17,2025-05-17
TXN-10129,North,Home & Kitchen,11,460.64,29,2025-04-11
TXN-10130,East,Home & Kitchen,15,71.95,23,2025-04-01
TXN-10131,East,Fitness,11,60.15,28,2099-12-31
TXN-10132,West,Books,9,331.97,14,2025-04-20
TXN-10133,North,Home & Kitchen,2,428.76,10,2025-03-23
TXN-10133,South,Apparel,15,324.41,17,2025-05-12
TXN-10135,South,Electronics,6,130.30,18,2025-04-15
TXN-10136,North,Electronics,18,363.30,17,2025-05-07
TXN-10137,South,Fitness,11,45.90,27,2025-05-09
TXN-10138,North,Home & Kitchen,20,391.29,21,2025-03-07
TXN-10139,South,Books,20,INVALID_PRICE,3,2025-05-21
TXN-10140,East,Electronics,10,317.76,3,2025-04-19
TXN-10141,East,Groceries,8,454.28,14,2025-05-05
TXN-10142,East,Fitness,17,137.73,11,2025-04-27
TXN-10143,South,Books,9,172.44,3,2025-05-17
TXN-10144,North,Books,19,352.52,11,2025-03-06
TXN-10145,South,Groceries,17,219.32,13,2025-06-01
TXN-10146,East,Apparel,19,256.24,29,2025-05-28
TXN-10147,South,Books,6,232.92,23,2025-04-26
TXN-10148,North,Books,7,217.28,10,2025-04-22
TXN-10149,North,Electronics,20,28.16,14,2025-05-30
TXN-10150,East,Electronics,5,457.78,6,2025-05-14
TXN-10151,East,Electronics,9,182.37,28,2025-03-06
TXN-10152,East,Groceries,4,23.72,28,2025-03-04
TXN-10153,North,Apparel,5,456.84,9,2025-04-03
TXN-10154,West,Fitness,8,502.82,4,2025-03-08
TXN-10155,West,Books,11,468.04,17,2025-05-15
TXN-10156,East,Home & Kitchen,17,260.77,19,2025-05-15
TXN-10157,East,Home & Kitchen,11,413.05,11,2025-03-16
TXN-10158,South,Books,5,346.62,7,2025-03-25
TXN-10159,West,Groceries,4,256.79,19,2025-03-18
TXN-10160,North,Books,2,397.99,28,2025-05-11
TXN-10161,South,Apparel,1,23.52,2,2025-05-29
TXN-10139,East,Fitness,3,377.56,21,2025-05-11
TXN-10163,West,Home & Kitchen,2,427.56,9,2025-03-16
TXN-10164,South,Books,6,317.38,7,2025-05-26
TXN-10165,East,Electronics,17,215.74,22,2025-04-15
TXN-10166,North,Books,9,118.04,29,2025-04-29
TXN-10167,West,Fitness,16,88.53,8,2025-05-06
TXN-10168,North,Electronics,9,28.14,4,2025-04-30
TXN-10169,South,Home & Kitchen,6,192.49,3,2025-03-31
TXN-10170,North,Groceries,3,474.18,18,2025-04-16
TXN-10171,West,Fitness,7,120.73,10,2025-05-26
TXN-10172,North,Fitness,12,405.49,150,2025-04-20
TXN-10173,North,Home & Kitchen,15,120.85,21,2025-05-14
TXN-10174,West,Electronics,16,390.31,22,2025-05-14
TXN-10175,South,Apparel,19,213.52,30,2025-04-30
TXN-10176,East,Electronics,7,148.23,26,2025-03-15
TXN-10177,West,Electronics,3,440.05,12,2025-04-20
TXN-10178,East,Apparel,3,22.89,19,2025-04-19
TXN-10179,West,Books,16,237.77,9,2025-03-29
TXN-10180,West,Fitness,5,167.14,12,2025-04-18
TXN-10181,North,Electronics,5,87.13,23,2025-04-17
TXN-10182,West,Fitness,10,369.54,24,2025-05-02
TXN-10183,South,Groceries,18,326.00,2,2025-04-21
TXN-10184,North,Groceries,15,198.70,24,2025-03-29
TXN-10185,South,Home & Kitchen,14,64.02,25,2025-03-23
TXN-10186,East,Apparel,8,183.64,24,2025-04-09
TXN-10187,North,Fitness,20,54.02,7,2025-03-04
TXN-10188,North,Groceries,18,30.40,19,2025-05-29
TXN-10189,South,Electronics,1,289.24,1,2025-05-02
TXN-10190,South,Apparel,20,85.41,25,2025-03-10
TXN-10191,South,Home & Kitchen,18,397.75,13,2099-12-31
TXN-10192,East,Home & Kitchen,19,400.06,18,2025-04-30
TXN-10193,West,Fitness,4,105.30,12,2025-03-28
TXN-10016,South,Electronics,4,240.10,18,2025-05-01
TXN-10195,South,Fitness,5,102.72,7,2025-04-11
TXN-10196,West,Groceries,2,493.00,20,2025-05-21
TXN-10197,South,Electronics,1,11.18,15,2025-05-09
TXN-10198,North,Groceries,1,268.71,22,2025-05-17
TXN-10199,North,Home & Kitchen,10,41.07,29,2025-04-08
TXN-10200,West,Electronics,6,329.32,4,2025-05-06
TXN-10201,East,Electronics,15,14.42,24,2025-04-03
TXN-10202,North,Home & Kitchen,13,497.03,26,2025-05-04
TXN-10203,North,Home & Kitchen,1,496.77,3,2025-05-16
TXN-10204,East,Books,10,222.02,27,2025-04-23
TXN-10205,South,Electronics,11,229.77,24,2025-05-11
TXN-10206,South,Home & Kitchen,13,156.59,5,2025-05-29
TXN-10207,South,Fitness,4,477.04,1,2025-05-03
TXN-10208,North,Apparel,19,10.31,28,2025-03-24
TXN-10209,South,Books,18,258.43,18,2025-04-13
TXN-10210,South,Home & Kitchen,14,311.54,2,2025-04-23
TXN-10211,West,Groceries,20,83.84,25,2025-03-31
TXN-10212,South,Groceries,10,133.04,27,2025-04-24
TXN-10213,North,Books,14,361.05,20,2025-05-07
TXN-10214,South,Fitness,1,173.00,10,2025-04-06
TXN-10215,East,Groceries,20,331.59,11,2025-04-13
TXN-10216,North,Groceries,5,343.40,12,2025-05-21
TXN-10217,South,Apparel,6,482.14,6,2025-04-08
TXN-10218,East,Fitness,7,432.91,11,2025-03-29
TXN-10219,West,Books,12,416.46,12,2025-04-01
TXN-10220,East,Groceries,15,8.70,6,2025-04-04
TXN-10221,North,Apparel,1,334.08,7,2025-03-11
TXN-10222,East,Home & Kitchen,14,130.54,19,2025-05-18
TXN-10223,West,Home & Kitchen,7,273.94,20,2025-04-20
TXN-10224,South,Home & Kitchen,8,167.11,13,2025-04-03
TXN-10225,South,Books,4,461.67,10,2025-05-04
TXN-10226,East,Fitness,15,291.50,25,2025-05-06
TXN-10227,West,Apparel,13,162.97,15,2025-04-30
TXN-10228,North,Books,9,384.30,23,2025-03-09
TXN-10229,North,Home & Kitchen,19,166.30,10,2025-04-12
TXN-10230,South,Home & Kitchen,13,13.14,6,2025-05-28
TXN-10231,North,Apparel,17,495.57,3,2025-03-30
TXN-10232,South,Electronics,7,212.39,23,2025-05-26
TXN-10233,South,Groceries,12,194.15,12,2025-05-07
TXN-10234,East,Electronics,13,444.20,27,2025-03-27
TXN-10235,West,Fitness,3,385.22,8,2025-05-22
TXN-10236,West,Apparel,20,141.40,16,2025-03-06
TXN-10237,West,Fitness,14,398.52,24,2025-04-05
TXN-10238,North,Apparel,18,13.05,20,2025-03-17
TXN-10239,South,Home & Kitchen,3,311.20,22,2025-04-16
TXN-10240,West,Groceries,9,36.73,3,2025-04-06
TXN-10241,North,Fitness,9,64.51,22,2099-12-31
TXN-10242,North,Books,1,42.30,18,2025-04-07
TXN-10243,East,Groceries,18,146.23,23,2025-05-20
TXN-10244,East,Electronics,19,499.80,4,2025-05-31
TXN-10245,South,Apparel,3,283.77,30,2025-03-16
TXN-10246,East,Books,4,400.93,12,2025-04-20
TXN-10247,North,Electronics,12,250.71,18,2025-03-05
TXN-10248,North,Electronics,8,119.11,4,2025-04-03
TXN-10249,East,Apparel,14,364.71,0,2025-03-22
TXN-10250,East,Home & Kitchen,17,221.48,30,2025-04-10
TXN-10251,North,Groceries,8,322.93,19,2025-03-17
TXN-10252,West,Apparel,8,95.33,12,2025-04-05
TXN-10253,North,Fitness,19,438.31,28,2025-04-24
TXN-10254,East,Home & Kitchen,20,433.09,15,2025-03-13
TXN-10255,South,Home & Kitchen,20,30.89,29,2025-03-18
TXN-10256,North,Electronics,1,414.89,24,2025-03-31
TXN-10257,East,Books,11,470.62,17,2025-05-12
TXN-10258,East,Groceries,4,27.79,15,2025-06-01
TXN-10259,East,Fitness,17,58.08,9,2025-03-11
TXN-10260,East,Electronics,15,304.38,11,2025-05-31
TXN-10261,West,Home & Kitchen,4,293.42,24,2025-05-28
TXN-10262,West,Electronics,5,245.30,11,2025-04-10
TXN-10263,East,Books,3,285.16,17,2025-04-22
TXN-10264,South,Groceries,20,349.42,11,2025-03-23
TXN-10265,North,Electronics,11,134.51,23,2025-03-05
TXN-10266,West,Fitness,13,113.95,7,2025-03-09
TXN-10267,East,Books,2,261.25,2,2025-04-21
TXN-10268,North,Fitness,7,43.09,2,2025-03-22
TXN-10269,South,Electronics,10,157.89,19,2025-04-25
TXN-10270,East,Groceries,17,114.45,6,2025-03-31
TXN-10271,South,Apparel,11,363.92,24,2025-04-24
TXN-10272,East,Fitness,12,202.70,14,2025-05-02
TXN-10273,West,Home & Kitchen,8,390.55,4,2025-05-16
TXN-10274,South,Groceries,19,394.95,15,2025-04-01
TXN-10275,East,Electronics,6,411.90,14,2025-03-27
TXN-10276,West,Groceries,16,81.46,22,2025-04-24
TXN-10277,East,Electronics,16,478.49,2,2025-03-06
TXN-10278,South,Books,15,354.11,5,2025-05-29
TXN-10279,North,Fitness,2,207.22,16,2025-04-07
TXN-10280,East,Apparel,16,161.34,4,2025-04-30
TXN-10281,East,Apparel,2,310.56,14,2025-03-21
TXN-10282,West,Books,19,460.28,10,2025-04-17
TXN-10283,West,Books,11,INVALID_PRICE,30,2025-05-18
TXN-10284,South,Books,7,5.46,29,2025-04-26
TXN-10285,North,Home & Kitchen,11,416.56,16,2025-03-04
TXN-10286,East,Electronics,6,15.84,24,2025-05-14
TXN-10287,East,Groceries,11,122.99,3,2025-03-12
TXN-10288,East,Books,19,281.88,10,2025-04-21
TXN-10289,West,Books,16,260.46,7,2025-05-13
TXN-10290,East,Home & Kitchen,15,184.41,28,2025-04-13
TXN-10291,East,Groceries,19,281.80,28,2025-05-08
